"ANNEE","BT"
"1963","3148"
"1964","3088"
"1965","2940"
"1969","2897"
"1968","2896"
"1962","2896"
"1970","2891"
"1966","2888"
"1967","2873"
"1971","2767"
"1972","2766"
"1973","2745"
"1979","2692"
"1961","2625"
"1980","2557"
"1983","2517"
"1981","2464"
"1975","2445"
"1982","2422"
"1974","2417"
"1977","2393"
"1978","2374"
"1976","2342"
"2009","2303"
"1960","2243"
"2015","2235"
"2014","2201"
"2013","2187"
"2016","2155"
"1988","2155"
"1989","2152"
"1986","2137"
"1984","2102"
"1985","2096"
"1987","2082"
"2012","2031"
"1990","2021"
"2008","2014"
"2010","2002"
"1991","1953"
"1998","1939"
"1992","1919"
"2017","1890"
"1999","1886"
"2005","1883"
"1993","1879"
"1997","1878"
"1994","1876"
"1995","1867"
"2006","1866"
"2007","1861"
"1996","1834"
"2000","1810"
"2011","1804"
"2004","1764"
"2018","1735"
"2001","1732"
"2020","1708"
"2002","1658"
"2019","1637"
"2003","1444"
