"Année","NB Loc Elec"
"1960","14"
"1961","20"
"1962","24"
"1963","25"
"1964","34"
"1965","44"
"1966","46"
"1967","46"
"1968","70"
"1969","87"
"1970","112"
"1971","142"
"1972","234"
"1973","254"
"1974","283"
"1975","301"
"1976","356"
"1977","368"
"1978","418"
"1979","449"
"1980","485"
"1981","492"
"1982","517"
"1983","590"
"1984","620"
"1985","653"
"1986","819"
"1987","854"
"1988","980"
"1989","988"
"1990","1019"
"1991","1115"
"1992","1181"
"1993","1246"
"1994","1321"
"1995","1377"
"1996","1443"
"1997","1508"
"1998","1574"
"1999","1640"
"2000","1845"
"2001","1875"
"2002","2119"
"2003","2219"
"2004","2351"
"2005","2504"
"2006","2595"
"2007","2627"
"2008","2686"
"2009",""
"2010","2832"
"2011","2847"
"2012","2881"
"2013","3032"
"2014","3282"
"2015","4126"
"2016","4537"
"2017","4614"
"2018","4940"
"2019","5859"
"2020","6873"
