"ANNEE","AYAME 1","AYAME 2","KOSSOU","TAABO","BUYO","FAYE","Vridi 1","Vridi vapeur *","TOTAL","Contribution à la production nationale(%)"
"1990","53426","99256","203907","451397","507994","5585","175687","480318","1977570","100"
"1991","48820","86168","171996","507546","437264","1857","376769","180840","1811259","100"
"1992","37454","71817","96686","338591","503768","0","372069","425399","1845784","100"
"1993","50117","99951","94404","308839","545202","0","471650","612094","2182257","100"
"1994","30046","64373","65155","459062","555912","0","447520","733076","2355144","100"
"1995","76307","152878","118149","541094","895763","0","268797","476827","2529815","86"
"1996","89086","144973","118460","549630","879260","0","443445","310219","2535073","78"
"1997","51264","97681","224278","695007","809366","1331","514334","403088","2796348","69"
"1998","26539","52496","92026","349556","849246","6673","592450","494964","2463950","61"
"1999","79386","139071","109001","537917","880509","7961","415667","208727","2378239","49"
"2000","65703","104680","143488","582481","861313","5947","86708","0","1850321","39"
"2001","73783","130875","156050","534982","896844","7711","111715","0","1911960","39"
"2002","60932","107907","153315","601229","796405","9686","139953","0","1869427","35"
"2003","68042","121370","164044","713415","758429","6238","170812","0","2002349","39"
"2004","74219","114764","206753","577095","767717","7586","202912","0","1951046","36"
"2005","89424","141528","89474","393993","707096","11421","319199","0","1752135","32"
"2006","72304","139129","79382","449310","760064","10078","376472","0","1886739","34"
"2007","83945","134164","79486","584958","908659","5510","337641","0","2134436","39"
"2008","118028","177382","160988","748313","686383","7221","99796","0","1998111","35"
"2009","99426","164276","163973","644212","1054850","4085","66480","0","2197302","38"
"2010","102415","164837","50171","511664","783158","6126","142733","0","1761103","30"
"2011","124305","179453","110001","454659","897240","7968","101897","0","1875523","31"
"2012","80133","130031","126073","708475","732066","8815","229351","0","2014944","29"
"2013","46302","76478","141517","544472","791257","5651","383308","0","1988985","26"
"2014","113590","136380","87670","474320","1096130","5410","335840","0","2249340","27"
"2015","83351","99454","53927","389581","738520","6931","295418","0","1647682","19"
"2016","75244","111511","56146","453899","823876","8397","236875","0","1765947","17"
"2017","73814","102990","84179","405176","749564","1643","184998","0","1602364","16"
"2018","101686","114774","87838","610360","729803","0","111596","0","1756057","18"
"2019","82955","101940","235290","804736","672274","0","207794","0","2104989","33"
"2020","117367","110921","200878","781770","664889","0","80234","0","1956059","30"
