"mois","prodTherm","prodHydro","prodTotal","idproduction"
"01/01/1980","39,01","111,28","150,28","1"
"02/01/1980","46,22","97,49","143,71","2"
"03/01/1980","47,89","106,33","154,23","3"
"04/01/1980","42,64","106,86","149,50","4"
"05/01/1980","42,93","100,55","143,48","5"
"06/01/1980","33,98","102,74","136,73","6"
"07/01/1980","31,65","96,71","128,36","7"
"08/01/1980","1,88","116,41","118,29","8"
"09/01/1980","7,28","121,36","128,63","9"
"10/01/1980","19,06","125,33","144,39","10"
"11/01/1980","12,85","134,29","147,15","11"
"12/01/1980","17,53","133,14","150,67","12"
"01/01/1981","15,48","147,56","163,04","13"
"02/01/1981","27,71","128,48","156,20","14"
"03/01/1981","28,68","145,16","173,84","15"
"04/01/1981","13,52","151,66","165,17","16"
"05/01/1981","5,01","152,67","157,67","17"
"06/01/1981","0,00","147,06","147,06","18"
"07/01/1981","156,00","133,70","133,71","19"
"08/01/1981","186,00","126,86","127,05","20"
"09/01/1981","66,00","133,62","133,69","21"
"10/01/1981","6,03","147,83","153,86","22"
"11/01/1981","8,91","153,42","162,33","23"
"12/01/1981","8,23","162,52","170,75","24"
"01/01/1982","6,77","165,04","171,81","25"
"02/01/1982","9,18","156,08","165,26","26"
"03/01/1982","36,07","147,33","183,40","27"
"04/01/1982","36,70","132,55","169,25","28"
"05/01/1982","18,23","143,89","162,22","29"
"06/01/1982","1,00","146,30","147,30","30"
"07/01/1982","10,00","139,42","139,43","31"
"08/01/1982","0,00","130,65","130,65","32"
"09/01/1982","2,31","134,31","136,62","33"
"10/01/1982","11,37","144,94","156,32","34"
"11/01/1982","19,78","145,75","165,53","35"
"12/01/1982","30,00","142,19","172,19","36"
"01/01/1983","34,16","132,72","166,88","37"
"02/01/1983","39,90","129,05","168,95","38"
"03/01/1983","64,48","126,72","191,20","39"
"04/01/1983","70,58","104,87","175,45","40"
"05/01/1983","98,14","66,38","164,52","41"
"06/01/1983","98,02","45,75","143,77","42"
"07/01/1983","69,44","68,37","138,07","43"
"08/01/1983","96,85","34,29","131,13","44"
"09/01/1983","83,13","56,67","139,80","45"
"10/01/1983","83,86","77,29","161,15","46"
"11/01/1983","72,80","93,81","166,60","47"
"12/01/1983","95,94","40,45","136,39","48"
"01/01/1984","122,82","11,76","134,58","49"
"02/01/1984","111,39","7,72","119,11","50"
"03/01/1984","153,15","6,65","159,80","51"
"04/01/1984","137,10","4,18","141,28","52"
"05/01/1984","118,45","4,45","122,89","53"
"06/01/1984","97,72","8,21","105,93","54"
"07/01/1984","92,58","6,59","99,17","55"
"08/01/1984","75,61","30,66","106,27","56"
"09/01/1984","43,36","59,53","102,88","57"
"10/01/1984","29,77","89,99","119,76","58"
"11/01/1984","59,21","61,79","121,00","59"
"12/01/1984","31,97","81,91","113,89","60"
"01/01/1985","31,08","96,35","127,43","61"
"02/01/1985","33,53","91,84","125,37","62"
"03/01/1985","34,41","100,55","134,96","63"
"04/01/1985","65,37","84,22","149,59","64"
"05/01/1985","42,83","95,29","138,12","65"
"06/01/1985","52,37","64,57","116,95","66"
"07/01/1985","63,15","86,79","149,95","67"
"08/01/1985","24,06","126,33","150,39","68"
"09/01/1985","29,00","195,89","195,92","69"
"10/01/1985","11,20","163,70","174,90","70"
"11/01/1985","8,63","123,66","132,29","71"
"12/01/1985","13,35","129,25","142,60","72"
"01/01/1986","12,47","168,49","180,97","73"
"02/01/1986","21,31","151,35","172,66","74"
"03/01/1986","32,52","152,00","184,52","75"
"04/01/1986","49,44","138,31","187,75","76"
"05/01/1986","38,73","123,67","162,40","77"
"06/01/1986","41,85","81,49","123,34","78"
"07/01/1986","53,91","57,52","111,43","79"
"08/01/1986","56,14","56,64","112,78","80"
"09/01/1986","72,36","41,34","113,70","81"
"10/01/1986","71,05","62,16","133,20","82"
"11/01/1986","86,52","69,91","156,43","83"
"12/01/1986","89,47","92,47","181,94","84"
"01/01/1987","87,12","113,56","200,68","85"
"02/01/1987","86,83","79,21","166,05","86"
"03/01/1987","112,75","73,90","186,65","87"
"04/01/1987","120,20","74,81","195,01","88"
"05/01/1987","121,83","59,62","181,44","89"
"06/01/1987","102,80","54,61","157,41","90"
"07/01/1987","124,40","38,28","162,68","91"
"08/01/1987","126,53","31,53","158,06","92"
"09/01/1987","36,10","127,63","163,72","93"
"10/01/1987","24,71","161,84","186,55","94"
"11/01/1987","60,99","130,07","191,06","95"
"12/01/1987","85,04","107,50","192,54","96"
"01/01/1988","86,93","112,05","198,98","97"
"02/01/1988","69,62","121,08","190,70","98"
"03/01/1988","102,62","106,15","208,76","99"
"04/01/1988","123,56","70,33","193,89","100"
"05/01/1988","120,60","72,29","192,89","101"
"06/01/1988","112,47","53,63","166,10","102"
"07/01/1988","130,21","36,06","166,28","103"
"08/01/1988","95,32","69,49","164,81","104"
