"Année","Hydraulique","Thermique","Centrales Isolées"
"2020","3376","7828","6"
"2019","3481","7125","7"
"2019","3481","7125","7"
"2018","2962","7028","7"
"2017","2047","7894","7"
"2016","1529","8543","8"
"2015","1353","7255","10"
"2014","1914","6288","13"
"2013","1606","5964","12"
"2012","1789","5150","9"
"2011","1774","4254","6"
"2010","1618","4258","8"
"2009","2131","3666","7"
"2008","1898","3768","6"
"2007","1797","3710","7"
"2006","1510","4025","6"
"2005","1433","4128","5"
"2004","1748","3648","7"
"2003","1832","3255","6"
"2002","1729","3565","13"
"2001","1800","3085","13"
"2000","1764","3036","13"
"1999","1754","3063","13"
"1998","1377","2645","13"
"1997","1879","2152","8"
"1996","1782","1476","8"
"1995","1784","1163","6"
"1994","1175","1181","6"
"1993","1099","1084","5"
"1992","1048","797","5"
"1991","1254","558","1"
"1990","1322","656",""
"1989","1594","602",""
"1988","1241","1059",""
"1987","1053","1089",""
"1986","1195","626",""
"1985","1358","380","47"
"1984","373","1073","50"
"1983","976","907","54"
"1982","1728","171","48"
"1981","1730","114","45"
"1980","1352","343","55"
"1979","730","764","75"
"1978","204","1090","80"
"1977","222","954","67"
"1976","343","714","57"
"1975","383","525","54"
"1974","277","519","58"
"1973","168","556","72"
"1972","226","398","68"
"1971","139","360","89"
"1970","260","178","78"
"1969","254","123","64"
"1968","257","64","51"
"1967","193","79","43"
"1966","209","32","35"
"1965","141","53","26"
"1964","96","67","20"
"1963","107","33","15"
"1962","90","16","11"
"1961","73","10","8"
"1960","59","4","6"
