"Année","Hydraulique","Thermique"
"2020","879","1350"
"2019","879","1336"
"2018","879","1306"
"2017","879","1306"
"2016","604","1306"
"2015","604","1306"
"2014","604","1042"
"2013","604","1042"
"2012","604","828"
"2011","604","791"
"2010","604","791"
"2009","604","717"
"2008","604","606"
"2007","604","606"
"2006","604","606"
"2005","604","606"
"2004","604","606"
"2003","604","606"
"2002","604","606"
"2001","604","606"
"2000","604","606"
"1999","604","672"
"1998","604","524"
"1997","604","524"
"1996","604","413"
"1995","604","413"
"1994","604","314"
"1993","604","329"
"1992","604","329"
"1991","604","329"
"1990","604","329"
"1989","604","329"
"1988","604","333"
"1987","604","333"
"1986","604","328"
"1985","604","328"
"1984","604","333"
"1983","604","233"
"1982","599","233"
"1981","599","233"
"1980","599","226"
"1979","434","233"
"1978","224","245"
"1977","224","245"
"1976","224","245"
"1975","224","95"
"1974","224","95"
"1973","224","95"
"1972","224","95"
"1971","50","83"
"1970","50","83"
"1969","50","83"
"1968","50","51"
"1967","50","19"
"1966","50","19"
"1965","50","19"
"1964","20","19"
"1963","20","19"
"1962","20","19"
"1961","20","14"
"1960","20","14"
