"Année","Production (GWh)","Contribution à la production nationale (%)"
"2020","3283","31"
"2019","3196","31"
"2018","2939","30"
"2017","3198","33"
"2016","3503","35"
"2015","2502","29"
"2014","2932","47"
"2013","2163","29"
"2012","2219","32"
"2011","1940","32"
"2010","2100","36"
"2009","1478","26"
"2008","1453","26"
"2007","1503","27"
"2006","1475","27"
"2005","1619","29"
"2004","1485","28"
"2003","1400","28"
"2002","1502","28"
"2001","1483","30"
"2000","1384","29"
"1999","1572","32"
"1998","1417","35"
"1997","1235","31"
"1996","722","22"
